Municipio,Localidad,Latitud,Longitud
CALAKMUL,BEL-HA,18.9300554,-89.32358479999999
CALAKMUL,BEL-HA,18.9300554,-89.32358479999999
CALAKMUL,CAÑA BRAVA,18.132941,-89.3528168
CALAKMUL,CAÑA BRAVA,18.132941,-89.3528168
CALAKMUL,EMILIANO ZAPATA,18.5215475,-89.6728049
CALAKMUL,EMILIANO ZAPATA,18.5215475,-89.6728049
CALAKMUL,FELIPE ÁNGELES II,18.5303509,-89.61869039999999
CALAKMUL,FELIPE ÁNGELES II,18.5303509,-89.61869039999999
CALAKMUL,INGENIERO EUGENIO ECHEVERRIA CASTELLOT,18.5303097,-89.5986727
CALAKMUL,INGENIERO EUGENIO ECHEVERRIA CASTELLOT,18.5303097,-89.5986727
CALAKMUL,LA LUCHA,18.4223331,-89.4399388
CALAKMUL,PUEBLA DE MORELIA,18.5245216,-89.67633149999999
CALAKMUL,PUEBLA DE MORELIA,18.5245216,-89.67633149999999
CALAKMUL,UNIDAD Y TRABAJO,18.1174999,-89.4005555
CAMPECHE,ADOLFO RUIZ CORTINEZ,19.4762532,-90.35912410000002
CAMPECHE,BOLONCHEN CAHUICH,19.44218,-90.206548
CAMPECHE,CARLOS CANO CRUZ (LOS TLAXCALTECAS),19.3697222,-89.88694439999999
CAMPECHE,HOBOMO,19.8226087,-90.5219863
CAMPECHE,HOBOMO,19.8226087,-90.5219863
CAMPECHE,MUCUYCHAKAN,19.6882247,-90.4606945
CAMPECHE,MUCUYCHAKAN,19.6882247,-90.4606945
CAMPECHE,MUCUYCHAKÁN,19.6882247,-90.4606945
CAMPECHE,NUEVO SAN ANTONIO EBULA,19.8188406,-90.4649805
CAMPECHE,NUEVO SAN ANTONIO EBULÁ,19.8188406,-90.4649805
CAMPECHE,SAN MIGUEL ALLENDE,19.4627777,-89.9955555
CANDELARIA,AGUAS MALAS (TRES CRUCES),18.0030555,-90.6055555
CANDELARIA,AGUAS MALAS (TRES CRUCES),18.0030555,-90.6055555
CANDELARIA,ALIANZA PRODUCTORA,17.8959096,-90.3368966
CANDELARIA,ALIANZA PRODUCTORA,17.8959096,-90.3368966
CANDELARIA,ARROYO DE CUBA,17.9254292,-90.36953919999999
CANDELARIA,ARROYO DE CUBA,17.9254292,-90.36953919999999
CANDELARIA,CORTE PAJARAL,18.1194444,-91.07805549999999
CANDELARIA,CORTE PAJARAL,18.1194444,-91.07805549999999
CANDELARIA,EL CHILAR,18.1544444,-90.8380555
CANDELARIA,EL CHILAR,18.1544444,-90.8380555
CANDELARIA,EL ENCANTO,17.9972222,-91.02972220000001
CANDELARIA,EL ENCANTO,17.9972222,-91.02972220000001
CANDELARIA,EL MAMEY,17.9888888,-90.9372222
CANDELARIA,EL MAMEY,17.9888888,-90.9372222
CANDELARIA,EL SACRIFICIO II,18.1921786,-91.0447317
CANDELARIA,EL SACRIFICIO II,18.1921786,-91.0447317
CANDELARIA,EL SACRIFICIO II,18.1921786,-91.0447317
CANDELARIA,EL TABLON,18.2008797,-90.4590823
CANDELARIA,EL TABLON,18.2008797,-90.4590823
CANDELARIA,EL TAZIZTAL,18.0300525,-90.46114659999999
CANDELARIA,EL TAZIZTAL,18.0300525,-90.46114659999999
CANDELARIA,EL TAZIZTAL,18.0300525,-90.46114659999999
CANDELARIA,EL TIGRE,18.1336111,-90.8347222
CANDELARIA,EL TIGRE,18.1336111,-90.8347222
CANDELARIA,EL TULIPAN (EL IMPOSIBLE),17.9668455,-90.5560799
CANDELARIA,EMILIANO ZAPATA,17.9661011,-90.46623389999999
CANDELARIA,EMILIANO ZAPATA,17.9661011,-90.46623389999999
CANDELARIA,EMILIANO ZAPATA III,18.3722097,-90.69094609999999
CANDELARIA,EMILIANO ZAPATA III,18.3722097,-90.69094609999999
CANDELARIA,ESPERANZA,18.0145561,-90.7883494
CANDELARIA,ESPERANZA,18.0145561,-90.7883494
CANDELARIA,ESTRELLA DEL SUR,17.8258333,-90.6680555
CANDELARIA,HECTOR PEREZ MORALES,18.0455555,-90.6991666
CANDELARIA,HERMANOS CRUZ,18.1845319,-91.04185679999999
CANDELARIA,HERMANOS CRUZ,18.1845319,-91.04185679999999
